features,x08_1,x08_2,x08_3,x08_4,x09_1,x09_2,x09_3,x09_4,x09_5,x14_dm1,x14_dm2,x14_dm3,x14_dm4,x14_dm5,x14_dm6,x16_dm2,x16_dm3,x16_dm4,x16_dm5,x16_dm6,x17_dm1,x17_dm2,x17_dm3,x17_dm4,x17_dm5,x17_dm6,x18_dm1,x18_dm2,x18_dm3,x18_dm4,x18_dm5,x18_dm6,x22_dm1,x22_dm2,x22_dm3,x22_dm4,x22_dm5,x22_dm6,x23_dm1,x23_dm2,x23_dm3,x23_dm4,x23_dm5,x23_dm6,x25_dm1,x25_dm2,x25_dm3,x25_dm4,x25_dm5,x25_dm6,x27_dm1,x27_dm2,x27_dm3,x27_dm4,x27_dm5,x27_dm6,x28_1,x28_2
x17_dm3,0.005567191,0.004618443,0.002219421,-0.001055732,0.005183105,0.011464753,0.013526459,-0.001907605,-0.001055732,-0.025844764,-0.032970775,-0.090491121,0.032635983,0.054720215,0.073959586,0.127485988,0.141572627,-0.014465062,-0.054911537,-0.054911537,0.58424813,0.697565284,1,0.702648907,0.58813681,0.490266959,-0.053994839,-0.055464052,-0.09171788,0.008102135,0.019711196,0.029245801,-0.000131859,0.013462954,0.007293,-0.001899595,0.01116935,0.009656012,-0.00351862,-0.003562555,-0.004158162,-0.003508577,-0.002814433,-0.002222478,0.018482916,-0.000169709,-0.050874013,0.046883884,0.05768309,0.065955597,-0.076325206,-0.101470374,-0.172991288,-0.02646797,0.002939533,0.027633525,0.165255289,0.165255289
x17_dm4,0.008886398,0.00230749,-0.006336662,0.009442954,0.008833946,0.010767426,0.004274773,-0.003818524,0.009442954,-0.007642516,-0.014367383,-0.02590303,-0.083507812,0.041912935,0.063053053,0.103185215,0.083113366,0.123679477,-0.049924282,-0.049924282,0.49123416,0.594834675,0.702648907,1,0.693159752,0.581282905,-0.037609867,-0.042336334,-0.046275905,-0.084725801,0.014053274,0.02171678,0.003691805,0.013798169,0.013584988,-0.001730752,-0.000285752,0.009954516,-0.003186946,-0.003307791,-0.003630051,-0.004301515,-0.002741528,-0.002163786,0.03011851,0.010241028,0.014757623,-0.037936702,0.055006207,0.059954423,-0.054354655,-0.082720179,-0.086279303,-0.158420179,-0.009776214,0.012489395,0.15421678,0.15421678
x17_dm5,0.010114084,0.00338872,-0.011655931,0.016978848,0.015943234,0.011654882,-0.001093478,-0.002066428,0.016978848,0.000942925,0.000165961,-0.004311454,-0.016161957,-0.077172847,0.051512147,0.074224516,0.058096326,0.06763672,0.102754261,0.102754261,0.440312621,0.494009095,0.58813681,0.693159752,1,0.693949937,-0.027909387,-0.025673204,-0.034134801,-0.037092233,-0.078333676,0.018427406,0.003590298,0.014346724,0.014432104,-0.002046513,-0.002965364,0.000457009,-0.002976582,-0.003004408,-0.003380077,-0.003648295,-0.003138684,-0.002100459,0.033499646,0.020573461,0.021215641,0.026973381,-0.033603425,0.059298769,-0.046605587,-0.061597601,-0.066641673,-0.070833645,-0.145021696,-0.001252336,0.138967795,0.138967795
x17_dm6,0.012297964,0.002851231,-0.019975995,0.02912299,0.01393731,0.010719786,-0.012260395,0.002003948,0.02912299,0.00132443,0.010845321,0.010981629,0.010038665,-0.003438568,-0.064002447,0.058076659,0.034514827,0.042832262,0.046234523,0.046234523,0.382740912,0.437590019,0.490266959,0.581282905,0.693949937,1,-0.022723552,-0.01348697,-0.017638306,-0.020384796,-0.028960973,-0.070549244,-0.003032699,0.015038849,0.014782245,-0.000696205,-0.002745278,-0.002488572,-0.002820886,-0.002787484,-0.003129324,-0.003332276,-0.002745074,-0.002513575,0.032850402,0.027001614,0.03213841,0.035807006,0.032928937,-0.024664633,-0.042219709,-0.048386872,-0.047624876,-0.047849127,-0.057672084,-0.130653222,0.124424264,0.124424264
x18_dm1,-0.003471321,-0.015997615,0.010182049,0.01731281,-0.004726179,0.00127433,0.041352315,0.00998453,0.01731281,0.571182761,0.280630183,0.321489128,0.265353503,0.272198879,0.249499085,0.022489017,0.07545024,0.029907299,0.02585109,0.02585109,-0.122049269,-0.067930294,-0.053994839,-0.037609867,-0.027909387,-0.022723552,1,0.432299014,0.482626246,0.411426862,0.407031584,0.376088733,0.004970161,-0.001591628,0.001651394,-0.002615324,-0.00151792,0.004212395,0.034296259,-0.000303893,-0.001338602,-0.001440507,-0.002174147,-0.001620439,0.552332499,0.292126611,0.316985604,0.264574356,0.267282169,0.241637375,0.601549051,0.307953814,0.345133326,0.282980518,0.285905632,0.258959247,0.069783854,0.069783854
x18_dm2,0.004902778,-0.017220238,0.009089995,0.016072969,-0.001945399,0.001282569,0.034344435,0.01508129,0.016072969,0.311595924,0.564032592,0.304781265,0.336988659,0.280582015,0.280321472,0.131141195,0.020175372,0.062413672,0.01028217,0.01028217,0.001854398,-0.104523381,-0.055464052,-0.042336334,-0.025673204,-0.01348697,0.432299014,1,0.454653494,0.496235554,0.416582756,0.413696742,-0.004362695,0.003605451,-0.00249737,-0.002336528,-0.000469092,-0.001047941,0.001193785,0.030735047,-0.001177119,-0.000417203,-0.001705544,-0.001206158,0.34124479,0.627774019,0.331973914,0.35865801,0.311854571,0.308952158,0.359467264,0.680735933,0.347774233,0.387048013,0.325516132,0.320217922,0.127794685,0.127794685
x18_dm3,0.003354798,-0.01609698,0.004925908,0.018163379,-0.00253651,0.009004116,0.028953111,0.018252959,0.018163379,0.356345419,0.343591029,0.581892055,0.33206215,0.355369418,0.302658792,0.047993908,0.09741983,-0.002219181,0.033233964,0.033233964,0.012158104,0.00943783,-0.09171788,-0.046275905,-0.034134801,-0.017638306,0.482626246,0.454653494,1,0.472310598,0.503750403,0.42971857,-0.003103619,-0.001781545,-0.000568556,-0.002674781,0.00060785,-0.000439749,0.005113831,0.000401113,0.028641406,-0.000412175,-0.001373687,-0.001089977,0.361973752,0.315736526,0.617923756,0.334603078,0.35728223,0.30998697,0.388551018,0.329434559,0.67167117,0.35402473,0.386603147,0.322761213,0.096473515,0.096473515
x18_dm4,0.002567993,-0.016671868,0.004950652,0.022026313,-0.004906238,0.015154255,0.029856102,0.014356202,0.022026313,0.31343209,0.3774148,0.369471392,0.592926045,0.348391143,0.36768656,0.074678759,0.02249963,0.083963164,-0.02105867,-0.02105867,0.015954335,0.013572266,0.008102135,-0.084725801,-0.037092233,-0.020384796,0.411426862,0.496235554,0.472310598,1,0.480123003,0.510981523,-0.004106844,-0.002638177,-0.002677276,-0.001763604,0.000223121,0.000825168,0.00199192,0.000695883,-0.001011884,0.022324337,-0.00138754,-0.000770398,0.308764902,0.348331407,0.327902681,0.620880573,0.346243219,0.367327016,0.329585894,0.381636911,0.349076747,0.672752056,0.368516812,0.395595713,0.112425106,0.112425106
x18_dm5,0.002240077,-0.017402931,0.004431107,0.032874601,-0.00740196,0.01722727,0.020163506,0.013180681,0.032874601,0.323284109,0.336076467,0.393602621,0.378183626,0.602720505,0.354481137,0.059041995,0.049525952,0.010132219,0.067740768,0.067740768,0.016067794,0.028929359,0.019711196,0.014053274,-0.078333676,-0.028960973,0.407031584,0.416582756,0.503750403,0.480123003,1,0.489814178,-0.003168613,-0.000863812,-0.00273721,-0.002278816,-0.000526171,0.000396159,0.000972742,0.000274506,-0.000759731,-0.000371452,0.02738521,-0.000736703,0.316370407,0.300604106,0.357790408,0.337314874,0.630320558,0.358559236,0.341294207,0.325429032,0.39453113,0.363312718,0.680896121,0.379391853,0.105552966,0.105552966
x18_dm6,-0.001673418,-0.016719883,0.002150198,0.043278865,-0.011545509,0.008061292,0.008458027,0.014766276,0.043278865,0.308946768,0.341608968,0.355928569,0.405573389,0.383493462,0.608258362,0.061710865,0.03208159,0.034307349,-0.004523502,-0.004523502,0.021363239,0.024742454,0.029245801,0.02171678,0.018427406,-0.070549244,0.376088733,0.413696742,0.42971857,0.510981523,0.489814178,1,-0.001360686,-0.002618244,-0.00270052,-0.002716675,-0.003595234,-0.000323852,0.00188162,0.000381752,-0.000987369,-1.97E-05,-0.001213565,0.02807319,0.295541006,0.304171267,0.310916526,0.36554602,0.348995931,0.63213293,0.314845929,0.332545602,0.336435059,0.404490175,0.373391208,0.685422359,0.11405835,0.11405835
